alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,FoodID,FoodName,alim_nom_sci,"Energy,Regulation EU No 1169/2011 (kJ/100g)",energy_kcal,"Energy,N x Jones' factor,with fibres (kJ/100g)","Energy,N x Jones' factor,with fibres (kcal/100g)",Water (g/100g),Protein_g_100g,"Protein,crude,N x 6.25 (g/100g)",Carbs_g_100g,Fat_g_100g,Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fiber_g_100g,Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt_g_100g,Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium_mg_100g,Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g),source,FoodDescription,FoodGroupName,"CARBOHYDRATE,TOTAL (BY DIFFERENCE)",ENERGY (KILOCALORIES),FAT (TOTAL LIPIDS),"FIBRE,TOTAL DIETARY",PROTEIN,SODIUM,score_aceptacion
6.0.601.0.0.0,beverages,water,-,76096,"Mineral sparkling water (Vals),bottled,averagely mineralized",0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,2.22,2.46,0.0005,0.001,0.0,1.35,0.06,0.0023,3.38,1.0,38.1,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.601.0.0.0,beverages,water,-,76097,"Mineral still water (Vauban),bottled,averagely mineralized",0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,23.0,5.8,0.0,0.0,0.0,6.6,0.0,0.0,0.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.601.0.0.0,beverages,water,-,76100,"Water,mineral,carbonated ou non-carbonated,CAROLA",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.601.0.0.0,beverages,water,-,76101,"Water,mineral,non-carbonated,MONT-BLANC",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.1,0.0,0.0,0.0,0.24,0.0,0.0,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.601.0.0.0,beverages,water,-,76102,"Water,mineral,non-carbonated,EDEN",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.01,0.0,0.0,0.0,0.31,0.0,0.0,0.07,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.602.0.60201.0,beverages,non-alcoholic beverages,juices,2000,"Pineapple juice,reconstituted from a concentrate",0,222,52.3,222.0,52.3,87.1,0.41,0.41,11.9,0.096,11.9,2.75,0.0,3.1,0.0,0.1,4.57,0.0,0.18,0.0,0.38,0.0,0.6,0.044,0.0081,0.025,0.0,0.0,0.0,0.005,0.003,0.0081,0.014,0.011,0.0,0.0,0.011,14.3,0.0,0.03,0.15,1.17,1.46,9.12,144.0,10.0,4.62,0.066,0.3,0.0,0.02,0.3,0.0,15.0,0.058,0.021,0.2,0.056,0.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.602.0.60201.0,beverages,non-alcoholic beverages,juices,2002,"Mixed fruits juice,pure juice,multivitamin",0,-,-,0.0,0.0,86.5,0.48,0.48,11.3,0.1,11.0,3.9,0.0,2.3,0.2,0.2,2.4,0.0,0.25,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,9.6,60.0,0.018,0.12,1.0,9.98,0.14,10.171,10.0,1.5,0.036,0.38,0.5,2.0,0.0,0.0,24.0,0.24,0.32,0.29,0.095,0.33,30.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.602.0.60201.0,beverages,non-alcoholic beverages,juices,2004,Fruit juice (average),0,200.47.200.47,88.5,0.52,0.52,9.58,0.14,9.24,3.19,0.0041,2.42,0.053,0.074,2.89,0.011,0.29,0.092,0.38,0.0,1.2,0.041,0.014,0.025,0.00043,0.00036,0.00036,0.0019,0.00048,0.00093,0.018,0.0024,0.0,0.0,0.0,0.0,0.00036,0.00036,0.0,0.012,5.0,0.0,0.029,0.12,2.02,9.22,0.068,14.3,152.0,0.0,5.18,0.041,0.0,51.2,0.0001,0.18,0.14,0.0,32.5,0.064,0.023,0.29,0.19,0.086,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.602.0.60201.0,beverages,non-alcoholic beverages,juices,2006,"Carrot juice,pure juice",0,-,-,0.0,0.0,88.9,0.4,0.4,6.55,0.1,5.95,1.31,0.0,1.38,0.0,0.0,3.06,0.0,0.33,0.0,0.78,0.0,0.0,0.037,0.0025,0.041,0.0,0.0,0.002,0.001,0.023,0.0015,0.002,0.036,0.0052,0.0,0.0,0.1,13.6,45.6,0.051,0.46,2.0,8.75,0.071,25.6,210.0,2.2,42.5,0.086,0.0,1.16,15.5,0.0,8.5,0.092,0.055,0.39,0.23,0.22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0.602.0.60201.0,beverages,non-alcoholic beverages,juices,2007,"Lemon juice,home-made",0,-,-,0.0,0.0,91.5,0.49,0.49,2.41,0.24,2.06,1.0,0.75,0.0,0.32,0.0,0.3,0.0,0.26,0.0,4.8,0.04,0.006,0.021,0.0,0.0,0.02,0.001,0.002,0.012,0.004,0.004,0.012,0.009,0.0,0.0,0.0,0.0065,12.4,0.0,0.042,0.24,0.6,5.99,0.008,14.5,132.0,2.2,2.62,0.049,0.1,0.0,0.095,0.0,0.0,42.4,0.022,0.013,0.096,0.12,0.048,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
